State, Facility Name, Facility ID (ORISPL), Month, Year, Gross Load (MW-h), SO2 (tons), NOx (tons), CO2 (short tons), Heat Input (MMBtu)
"AR","Carl Bailey","202","10","2016",,"0.005","1.471","932.73","15740.78",
"AR","Carl Bailey","202","11","2016",,"0","0","3.32","56.58",
"AR","Carl Bailey","202","12","2016",,"0.011","3.476","2034.57","34317.1",
"AR","City Water & Light - City of Jonesboro","56505","1","2016","251","0.001","0.136","159","2693",
"AR","City Water & Light - City of Jonesboro","56505","2","2016","8","0","0.007","6.4","108.2",
"AR","City Water & Light - City of Jonesboro","56505","3","2016",,,,,,
"AR","City Water & Light - City of Jonesboro","56505","4","2016","2645","0.008","1.417","1593.9","27007.6",
"AR","City Water & Light - City of Jonesboro","56505","5","2016","7508","0.024","4.456","4830.7","81821.8",
"AR","City Water & Light - City of Jonesboro","56505","6","2016","10970","0.033","6.594","7144.4","121010.6",
"AR","City Water & Light - City of Jonesboro","56505","7","2016","5076","0.016","2.855","3108.4","52682.2",
"AR","City Water & Light - City of Jonesboro","56505","8","2016","1722","0.005","0.964","1058","17930.5",
"AR","City Water & Light - City of Jonesboro","56505","9","2016","9239","0.029","5.179","5674.9","96134.4",
"AR","City Water & Light - City of Jonesboro","56505","10","2016","8395","0.027","4.932","5396.1","91449.3",
"AR","City Water & Light - City of Jonesboro","56505","11","2016","8848","0.028","5.241","5686.7","96389.9",
"AR","City Water & Light - City of Jonesboro","56505","12","2016","4676","0.013","2.817","3050.8","51704.6",
"AR","Dell Power Plant","55340","1","2016",,,,,,
"AR","Dell Power Plant","55340","2","2016",,,,,,
"AR","Dell Power Plant","55340","3","2016","5764.95","0.014","0.622","2717.592","45726.371",
"AR","Dell Power Plant","55340","4","2016","97485.74","0.223","3.472","43869.013","738188.898",
"AR","Dell Power Plant","55340","5","2016","67719.67","0.156","2.286","30360.354","510872.664",
"AR","Dell Power Plant","55340","6","2016","134112.09","0.313","5.852","61566.308","1035968.259",
"AR","Dell Power Plant","55340","7","2016","167250.23","0.389","6.616","76632.789","1289504.587",
"AR","Dell Power Plant","55340","8","2016","72700.34","0.171","3.15","33500.178","563704.767",
"AR","Dell Power Plant","55340","9","2016","85288.09","0.199","3.461","38851.777","653757.681",
"AR","Dell Power Plant","55340","10","2016","6193.18","0.015","0.429","2933.03","49349.74",
"AR","Dell Power Plant","55340","11","2016","42591.12","0.097","1.667","18970.971","319220.357",
"AR","Dell Power Plant","55340","12","2016","86900.74","0.207","3.926","40017.23","668951.452",
"AR","Flint Creek Power Plant","6138","1","2016","262866.15","586.262","376.483","284069.879","2708541.57",
"AR","Flint Creek Power Plant","6138","2","2016","152869.21","332.566","211.755","160353.439","1528918.605",
"AR","Flint Creek Power Plant","6138","3","2016",,,,,,
"AR","Flint Creek Power Plant","6138","4","2016",,,,,,
"AR","Flint Creek Power Plant","6138","5","2016","58.6","6.445","1.624","2504.97","23879.92",
"AR","Flint Creek Power Plant","6138","6","2016","126593.59","87.624","205.526","180112.893","1717300.487",
"AR","Flint Creek Power Plant","6138","7","2016","303591.32","80.686","482.589","370617.486","3533668.877",
"AR","Flint Creek Power Plant","6138","8","2016","349988.34","114.093","484.061","368936.584","3517707.378",
"AR","Flint Creek Power Plant","6138","9","2016","344774","72.693","448.35","355261.6","3387308",
"AR","Flint Creek Power Plant","6138","10","2016","140857.05","39.72","202.081","146040.216","1392452.041",
"AR","Flint Creek Power Plant","6138","11","2016","157513.69","110.141","191.336","162855.295","1552775.108",
"AR","Flint Creek Power Plant","6138","12","2016","353073","206.757","452.019","359592","3428597.6",
"AR","Fulton","7825","1","2016",,,,,,
"AR","Fulton","7825","2","2016",,,,,,
"AR","Fulton","7825","3","2016",,,,,,
"AR","Fulton","7825","4","2016","1601.67","0.005","0.607","990.788","16671.775",
"AR","Fulton","7825","5","2016","12422.72","0.04","3.819","7942.632","133656.26",
